Length_scale Curv_mean Curv_stddev Curv_iqr
1 -0.000268901 0.945978 0.031517
2 -0.000268901 0.945978 0.031517
3 -0.000268901 0.945978 0.031517
4 -0.000268901 0.945978 0.031517
5 -0.000268901 0.945978 0.031517
7 -0.000268901 0.945978 0.031517
8 -0.000268901 0.945978 0.031517
10 -0.000266735 0.313234 0.0243277
15 -0.00026319 0.201806 0.0193322
20 -0.000260389 0.133825 0.0165134
25 -0.000254631 0.101006 0.0140354
50 -0.000239017 0.0353449 0.00856372
70 -0.000249126 0.0207219 0.00649515
90 -0.000267406 0.0140639 0.00514793
100 -0.000277398 0.0118981 0.00460255
